utc_date,active_users,buyers,event_records,purchase_events,purchase_amount,count_allowed,amount_allowed,amount_status,buyer_rate,amount_per_buyer,analysis_scope,source_month
2019-11-11,14493,883,98504,1221,342175.68,True,True,complete_observed,0.06092596425860761,387.51492638731594,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-12,14065,800,94950,1072,330430.85,True,True,complete_observed,0.056878777106292217,413.03856249999995,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-13,14308,802,100569,1131,338276.04,True,True,complete_observed,0.05605255800950517,421.7905735660848,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-14,15494,819,152924,1143,337060.88,True,True,complete_observed,0.05285917129211307,411.55174603174606,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-15,18981,0,310916,0,0.00,True,True,no_purchases,0.0,,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-16,24487,2314,322463,3372,1144912.53,True,True,complete_observed,0.09449912198309307,494.7763742437338,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-17,24360,5592,318398,9138,2892482.47,True,True,complete_observed,0.22955665024630542,517.2536605865522,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-18,15967,1006,99735,1448,438507.71,True,True,complete_observed,0.06300494770464082,435.8923558648112,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-19,14660,889,88751,1317,405263.89,True,True,complete_observed,0.060641200545702593,455.86489313835773,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-20,14337,845,82042,1196,334878.99,True,True,complete_observed,0.058938411104136154,396.30649704142013,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-21,14444,897,86731,1265,352995.66,True,True,complete_observed,0.06210191082802548,393.5291638795986,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-22,12516,870,77046,1166,344057.94,True,True,complete_observed,0.06951102588686481,395.46889655172413,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-23,12588,811,77779,1140,334072.88,True,True,complete_observed,0.0644264378773435,411.92710234278667,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-24,12059,785,77316,1101,315923.88,True,True,complete_observed,0.06509660834231694,402.4508025477707,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-25,12863,885,79472,1299,387791.38,True,True,complete_observed,0.06880199020446241,438.18235028248586,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-26,12647,858,80603,1192,375881.86,True,True,complete_observed,0.06784217601012098,438.0907459207459,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-27,12775,898,81166,1267,368127.27,True,True,complete_observed,0.07029354207436399,409.94128062360807,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-28,12628,849,81965,1162,353081.83,True,True,complete_observed,0.06723154893886601,415.87965842167256,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-29,14194,1148,91192,1626,501273.12,True,True,complete_observed,0.08087924475130337,436.64905923344946,rees46_oct_nov_user5_analysis_v1,2019-11
2019-11-30,12583,996,86369,1398,422523.92,True,True,complete_observed,0.07915441468648177,424.22080321285137,rees46_oct_nov_user5_analysis_v1,2019-11
