utc_date,category_key,current_amount,current_share,history_dates,history_count,history_mean_amount,history_share,relative_change,total_relative_change,excess_change_pp,amount_difference,status
2019-10-01,category:electronics,246379.85,0.757938276198499473260571665710193796,[],0,,,,,,,history_or_quality_unavailable
2019-10-01,category:computers,23702.18,0.0729150109124043636081735439142561423,[],0,,,,,,,history_or_quality_unavailable
2019-10-01,bucket:unknown,31915.26,0.0981809070377586572074550433396802525,[],0,,,,,,,history_or_quality_unavailable
2019-10-02,category:electronics,249581.33,0.773820230407946934532670787009550481,[],0,,,,,,,history_or_quality_unavailable
2019-10-02,category:computers,20890.98,0.0647719240739994904682306755797830667,[],0,,,,,,,history_or_quality_unavailable
2019-10-02,bucket:unknown,30151.71,0.0934845694563515534812562906663881202,[],0,,,,,,,history_or_quality_unavailable
2019-10-03,category:electronics,228017.5,0.742730117834535882886703946033983875,[],0,,,,,,,history_or_quality_unavailable
2019-10-03,category:computers,25929.55,0.0844613142714769256837959117343426999,[],0,,,,,,,history_or_quality_unavailable
2019-10-03,bucket:unknown,32829.72,0.106937501744711784688119474475383692,[],0,,,,,,,history_or_quality_unavailable
2019-10-04,category:electronics,324083.38,0.768886928678936589791429021525193074,[],0,,,,,,,history_or_quality_unavailable
2019-10-04,category:computers,20727.03,0.0491748217305564360156470938806652862,[],0,,,,,,,history_or_quality_unavailable
2019-10-04,bucket:unknown,42370.34,0.100523515243769347715095345919589425,[],0,,,,,,,history_or_quality_unavailable
2019-10-05,category:electronics,303194.76,0.772362319897571573966853926158491538,[],0,,,,,,,history_or_quality_unavailable
2019-10-05,category:computers,28057.17,0.0714732039266132047861104030010157300,[],0,,,,,,,history_or_quality_unavailable
2019-10-05,bucket:unknown,36104.92,0.0919741481380358614124707948634674435,[],0,,,,,,,history_or_quality_unavailable
2019-10-06,category:electronics,238979.25,0.751191031924021651393899403141049557,[],0,,,,,,,history_or_quality_unavailable
2019-10-06,category:computers,15856.76,0.0498430550241142256533013987605654841,[],0,,,,,,,history_or_quality_unavailable
2019-10-06,bucket:unknown,34380.74,0.108070066999170380486775705277958685,[],0,,,,,,,history_or_quality_unavailable
2019-10-07,category:electronics,226629.51,0.716878658716908108281144709306704432,[],0,,,,,,,history_or_quality_unavailable
2019-10-07,category:computers,19769.49,0.0625352165069647270454011373858232328,[],0,,,,,,,history_or_quality_unavailable
2019-10-07,bucket:unknown,44229.56,0.139907762446466085505402128738501187,[],0,,,,,,,history_or_quality_unavailable
2019-10-08,category:electronics,225129.04,0.743822731217834270910360900442671071,"[""2019-10-01""]",1,,,,,,,history_or_quality_unavailable
2019-10-08,category:computers,15967,0.0527547114728298037588830499049262103,"[""2019-10-01""]",1,,,,,,,history_or_quality_unavailable
2019-10-08,bucket:unknown,35256.21,0.116485951410753232014903875047821037,"[""2019-10-01""]",1,,,,,,,history_or_quality_unavailable
2019-10-09,category:electronics,322489.1,0.803084596553393047492790982636475144,"[""2019-10-02""]",1,,,,,,,history_or_quality_unavailable
2019-10-09,category:computers,17126.41,0.0426493672662362734818355423886734599,"[""2019-10-02""]",1,,,,,,,history_or_quality_unavailable
2019-10-09,bucket:unknown,39119.46,0.0974179770773232248335597610387708730,"[""2019-10-02""]",1,,,,,,,history_or_quality_unavailable
2019-10-10,category:electronics,265943.91,0.766917492927803337953976456607783530,"[""2019-10-03""]",1,,,,,,,history_or_quality_unavailable
2019-10-10,category:computers,16006.93,0.0461600892649538133224996367187683614,"[""2019-10-03""]",1,,,,,,,history_or_quality_unavailable
2019-10-10,bucket:unknown,43628.27,0.125813309465057103714679281140627225,"[""2019-10-03""]",1,,,,,,,history_or_quality_unavailable
2019-10-11,category:electronics,320498.11,0.770463449599397510857108020381895382,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-11,category:computers,24429.44,0.0587273061116694433163211756769432753,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-11,bucket:unknown,44477.66,0.106922350817323505254832108413428750,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-12,category:electronics,287572.41,0.761187391558108971941094960355431326,"[""2019-10-05""]",1,,,,,,,history_or_quality_unavailable
2019-10-12,category:computers,11973.88,0.0316941617731332774828643614451772061,"[""2019-10-05""]",1,,,,,,,history_or_quality_unavailable
2019-10-12,bucket:unknown,50046.56,0.132470324475343076725574353252892776,"[""2019-10-05""]",1,,,,,,,history_or_quality_unavailable
2019-10-13,category:electronics,287911.12,0.698246513407112754501812351423719127,"[""2019-10-06""]",1,,,,,,,history_or_quality_unavailable
2019-10-13,category:computers,25331.08,0.0614333280730408945417105418467419497,"[""2019-10-06""]",1,,,,,,,history_or_quality_unavailable
2019-10-13,bucket:unknown,51146.78,0.124041964086002119298824602327105841,"[""2019-10-06""]",1,,,,,,,history_or_quality_unavailable
2019-10-14,category:electronics,382656.79,0.781503950451261762865580458422307438,"[""2019-10-07""]",1,,,,,,,history_or_quality_unavailable
2019-10-14,category:computers,28442.27,0.0580879444601032923003896340247119153,"[""2019-10-07""]",1,,,,,,,history_or_quality_unavailable
2019-10-14,bucket:unknown,35466.28,0.0724331532907349586951907449517200880,"[""2019-10-07""]",1,,,,,,,history_or_quality_unavailable
2019-10-15,category:electronics,316266.79,0.769737504361411477365832079427533591,"[""2019-10-08"", ""2019-10-01""]",2,,,,,,,history_or_quality_unavailable
2019-10-15,category:computers,26261.21,0.0639151465979432829590307697579728159,"[""2019-10-08"", ""2019-10-01""]",2,,,,,,,history_or_quality_unavailable
2019-10-15,bucket:unknown,27382.46,0.0666440710505082602018087396455418586,"[""2019-10-08"", ""2019-10-01""]",2,,,,,,,history_or_quality_unavailable
2019-10-16,category:electronics,402334.27,0.735683888474409898934640173063167189,"[""2019-10-09"", ""2019-10-02""]",2,,,,,,,history_or_quality_unavailable
2019-10-16,category:computers,45701.65,0.0835672476562747567032912659050204567,"[""2019-10-09"", ""2019-10-02""]",2,,,,,,,history_or_quality_unavailable
2019-10-16,bucket:unknown,57162.92,0.104524626406176175596498208918658560,"[""2019-10-09"", ""2019-10-02""]",2,,,,,,,history_or_quality_unavailable
2019-10-17,category:electronics,363642.79,0.744834079465755448784897853192616949,"[""2019-10-10"", ""2019-10-03""]",2,,,,,,,history_or_quality_unavailable
2019-10-17,category:computers,29148.3,0.0597032246906137738845773295662327215,"[""2019-10-10"", ""2019-10-03""]",2,,,,,,,history_or_quality_unavailable
2019-10-17,bucket:unknown,52467.35,0.107466644228688279907335191157524809,"[""2019-10-10"", ""2019-10-03""]",2,,,,,,,history_or_quality_unavailable
2019-10-18,category:electronics,351360.53,0.748648472720853469903518116228054055,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
2019-10-18,category:computers,28486.31,0.0606961529655956957039178166924110073,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
