utc_date,category_key,current_amount,current_share,history_dates,history_count,history_mean_amount,history_share,relative_change,total_relative_change,excess_change_pp,amount_difference,status
2019-10-04,category:electronics,324083.38,0.768886928678936589791429021525193074,[],0,,,,,,,history_or_quality_unavailable
2019-10-04,category:computers,20727.03,0.0491748217305564360156470938806652862,[],0,,,,,,,history_or_quality_unavailable
2019-10-04,bucket:unknown,42370.34,0.100523515243769347715095345919589425,[],0,,,,,,,history_or_quality_unavailable
2019-10-11,category:electronics,320498.11,0.770463449599397510857108020381895382,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-11,category:computers,24429.44,0.0587273061116694433163211756769432753,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-11,bucket:unknown,44477.66,0.106922350817323505254832108413428750,"[""2019-10-04""]",1,,,,,,,history_or_quality_unavailable
2019-10-18,category:electronics,351360.53,0.748648472720853469903518116228054055,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
2019-10-18,category:computers,28486.31,0.0606961529655956957039178166924110073,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
2019-10-18,bucket:unknown,51554.28,0.109847378088322105008145183379287487,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
2019-10-25,category:electronics,279924.74,0.758947235027327006096581286910003212,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,331980.673333333333333333333333333333,0.762120314291309396551598139580498284,-0.156804107933913662966042942941598146,-0.153278793818376110349018700345611840,-0.352531411553755261702424259598630693,-52055.9333333333333333333333333333333,comparable
2019-10-25,category:computers,14333.89,0.0388628249960537689502461466700886315,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,24547.5933333333333333333333333333333,0.0563533393629538331982238287742251576,-0.416077584251979623800187879925228244,-0.153278793818376110349018700345611840,-26.2798790433603513451169179579616404,-10213.7033333333333333333333333333333,comparable
2019-10-25,bucket:unknown,45474.37,0.123292594202676149261505764642387960,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,46134.0933333333333333333333333333333,0.105908965596444866005518393692937272,-0.0143001256915709770099163106272526724,-0.153278793818376110349018700345611840,13.8978668126805133339102389718359167,-659.723333333333333333333333333333333,comparable
2019-11-01,category:electronics,261581.25,0.774506378899157459639507169005585995,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,318966.69,0.761421871810634800149122978672596017,-0.179910447702234988863570675671494099,-0.193765036705769345180361335153751338,1.38545890035343563167906594822572389,-57385.44,comparable
2019-11-01,category:computers,15993.69,0.0473551331646884693404507754812432109,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,21994.1675,0.0525034140297428238535153491138024615,-0.272821305921217522781892062975331983,-0.193765036705769345180361335153751338,-7.90562692154481776015307278215806453,-6000.4775,comparable
2019-11-01,bucket:unknown,32997.65,0.0977015379110000550424527130111090711,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,45969.1625,0.109735363765781437416584341264865622,-0.282178569165796744719897822806756595,-0.193765036705769345180361335153751338,-8.84135324600273995395364876530052571,-12971.5125,comparable
2019-11-08,category:electronics,308172.45,0.759150041510645580083127709763754149,"[""2019-11-01"", ""2019-10-25"", ""2019-10-18"", ""2019-10-11""]",4,303341.1575,0.762221338542906422246847757912149690,0.0159269270936305436890805033603130495,0.0200370676265449314999719451151470220,-0.411014053291438781089144175483397254,4831.2925,comparable
2019-11-08,category:computers,19322.34,0.0475985287233910997490639473823068134,"[""2019-11-01"", ""2019-10-25"", ""2019-10-18"", ""2019-10-11""]",4,20810.8325,0.0522924773382992699121398399190531767,-0.0715248897419168598853505740339796594,0.0200370676265449314999719451151470220,-9.15619573684617913853225191491266814,-1488.4925,comparable
2019-11-08,bucket:unknown,45189.14,0.111318638336523510160488615106229169,"[""2019-11-01"", ""2019-10-25"", ""2019-10-18"", ""2019-10-11""]",4,43625.99,0.109621327903911127351311560213182951,0.0358307055037604877276137458427877511,0.0200370676265449314999719451151470220,1.57936378772155562276418007276407290,1563.15,comparable
2019-11-15,category:electronics,0,,"[""2019-11-08"", ""2019-11-01"", ""2019-10-25"", ""2019-10-18""]",4,300259.7425,0.759265712351839572221451391287462731,-1,-1,0,-300259.7425,comparable
2019-11-15,category:computers,0,,"[""2019-11-08"", ""2019-11-01"", ""2019-10-25"", ""2019-10-18""]",4,19534.0575,0.0493956997344034371659038980587425769,-1,-1,0,-19534.0575,comparable
2019-11-15,bucket:unknown,0,,"[""2019-11-08"", ""2019-11-01"", ""2019-10-25"", ""2019-10-18""]",4,43803.86,0.110766660524463253224991844322124659,-1,-1,0,-43803.86,comparable
2019-11-22,category:electronics,255915.18,0.743814195946182785376207274856089646,"[""2019-11-15"", ""2019-11-08"", ""2019-11-01"", ""2019-10-25""]",4,212419.61,0.763744704111349163051820786339752628,0.204762498151653700898895351516745558,0.237044120279009662339242469173328344,-3.22816221273559614403471176565827858,43495.57,comparable
2019-11-22,category:computers,17826.32,0.0518119709720984785295174411612183692,"[""2019-11-15"", ""2019-11-08"", ""2019-11-01"", ""2019-10-25""]",4,12412.48,0.0446284872893234257392594990360186270,0.436161025032870143597411637319858723,0.237044120279009662339242469173328344,19.9116904753860481258169168146530379,5413.84,comparable
2019-11-22,bucket:unknown,47763.98,0.138825396675920340626349155028946578,"[""2019-11-15"", ""2019-11-08"", ""2019-11-01"", ""2019-10-25""]",4,30915.29,0.111154469276949297039968789311502319,0.544995372839782515383164770571455096,0.237044120279009662339242469173328344,30.7951252560772853043922301398126751,16848.69,comparable
2019-11-29,category:electronics,373787.23,0.745675790475260273281759053826784089,"[""2019-11-22"", ""2019-11-15"", ""2019-11-08"", ""2019-11-01""]",4,206417.22,0.759067319048496926167123320893273788,0.810833563207565725378919452553425533,0.843354170303599115859633941823906642,-3.25206070960333904807144892704811089,167370.01,comparable
2019-11-29,category:computers,40107.82,0.0800119104730770323371817742790596871,"[""2019-11-22"", ""2019-11-15"", ""2019-11-08"", ""2019-11-01""]",4,13285.5875,0.0488556879392582782389684179595973973,2.01889698140936560012871090570891201,0.843354170303599115859633941823906642,117.554281110576648426907696388500537,26822.2325,comparable
2019-11-29,bucket:unknown,47594.73,0.0949477003674164694887290186236197943,"[""2019-11-22"", ""2019-11-15"", ""2019-11-08"", ""2019-11-01""]",4,31487.6925,0.115791106618907394442893779588089745,0.511534387602394173533039932983339443,0.843354170303599115859633941823906642,-33.1819782701204942326594008840567199,16107.0375,comparable
