policy,nominal_capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,Q,reference_L,Q_minus_L,status,sparse_prefix
RANDOM,47,1313441,0.46999971730760903,197231,1116210,393,3482,1257.8540493127348,1264.467515115226,-6.613465802491191,point_estimate_only,False
RANDOM,48,1341387,0.47999987117815096,201410,1139977,402,3554,1278.6871853433295,1291.371509415244,-12.684324071914489,point_estimate_only,False
RANDOM,49,1369332,0.4899996672102233,205557,1163775,414,3622,1278.1107138166058,1318.274541001661,-40.1638271850552,point_estimate_only,False
RANDOM,50,1397278,0.49999982108076524,209697,1187581,424,3692,1290.752752781394,1345.1785353016792,-54.42578252028511,point_estimate_only,False
RANDOM,51,1425224,0.5099999749513071,213821,1211403,437,3760,1284.1762455511853,1372.0825296016972,-87.90628405051189,point_estimate_only,False
RANDOM,52,1453169,0.5199997709833795,218168,1235001,449,3823,1281.3098850427195,1398.985561188114,-117.67567614539439,point_estimate_only,False
RANDOM,53,1481115,0.5299999248539214,222401,1258714,456,3893,1312.1951295183026,1425.8895554881324,-113.69442596982981,point_estimate_only,False
RANDOM,54,1509060,0.5399997208859937,226564,1282496,463,3971,1350.1262159919493,1452.792587074549,-102.66637108259965,point_estimate_only,False
RANDOM,55,1537006,0.5499998747565357,230671,1306335,469,4035,1378.9612478378294,1479.6965813745674,-100.73533353673793,point_estimate_only,False
RANDOM,56,1564951,0.559999670788608,234868,1330083,477,4118,1416.697178840881,1506.5996129609841,-89.90243412010318,point_estimate_only,False
RANDOM,57,1592897,0.5699998246591499,239105,1353792,482,4192,1462.9573450994335,1533.5036072610021,-70.54626216156862,point_estimate_only,False
RANDOM,58,1620843,0.5799999785296919,243241,1377602,492,4266,1479.5446573562845,1560.4076015610206,-80.8629442047361,point_estimate_only,False
RANDOM,59,1648788,0.5899997745617642,247371,1401417,499,4336,1509.0433923135697,1587.3106331474373,-78.26724083386762,point_estimate_only,False
RANDOM,60,1676734,0.5999999284323061,251504,1425230,504,4427,1570.9185062663018,1614.2146274474553,-43.29612118115347,point_estimate_only,False
RANDOM,61,1704679,0.6099997244643784,255692,1448987,512,4486,1584.5351751325816,1641.1176590338723,-56.58248390129074,point_estimate_only,False
RANDOM,62,1732625,0.6199998783349203,259933,1472692,520,4551,1604.856801560402,1668.0216533338903,-63.16485177348841,point_estimate_only,False
RANDOM,63,1760570,0.6299996743669927,264103,1496467,527,4631,1644.8994672533063,1694.9246849203073,-50.025217667001016,point_estimate_only,False
RANDOM,64,1788516,0.6399998282375347,268269,1520247,540,4695,1634.8872773223893,1721.8286792203255,-86.9414018979362,point_estimate_only,False
RANDOM,65,1816462,0.6499999821080765,272447,1544015,544,4762,1679.0364878306605,1748.7326735203435,-69.69618568968303,point_estimate_only,False
RANDOM,66,1844407,0.6599997781401489,276649,1567758,556,4832,1681.171882059939,1775.6357051067605,-94.46382304682152,point_estimate_only,False
RANDOM,67,1872353,0.6699999320106907,280850,1591503,562,4886,1701.2939789923448,1802.5396994067785,-101.24572041443366,point_estimate_only,False
RANDOM,68,1900298,0.6799997280427631,285070,1615228,573,4953,1706.3390255025083,1829.4427309931953,-123.10370549068693,point_estimate_only,False
RANDOM,69,1928244,0.6899998819133051,289213,1639031,581,5017,1724.350599730994,1856.3467252932137,-131.99612556221973,point_estimate_only,False
RANDOM,70,1956189,0.6999996779453774,293383,1662806,589,5080,1741.7263645132812,1883.2497568796305,-141.5233923663493,point_estimate_only,False
RANDOM,71,1984135,0.7099998318159193,297710,1686425,599,5161,1767.8705283665313,1910.1537511796485,-142.28322281311716,point_estimate_only,False
RANDOM,72,2012081,0.7199999856864612,301906,1710175,605,5240,1812.9204619981056,1937.0577454796667,-124.1372834815611,point_estimate_only,False
RANDOM,73,2040026,0.7299997817185335,306105,1733921,610,5319,1863.6764672252984,1963.9607770660834,-100.284309840785,point_estimate_only,False
RANDOM,74,2067972,0.7399999355890755,310393,1757579,615,5405,1922.6048267841093,1990.8647713661019,-68.25994458199261,point_estimate_only,False
RANDOM,75,2095917,0.7499997316211479,314455,1781462,623,5488,1958.5575487748642,2017.7678029525187,-59.210254177654406,point_estimate_only,False
RANDOM,76,2123863,0.7599998854916897,318649,1805214,628,5558,2000.2471371320794,2044.6717972525366,-44.42466012045725,point_estimate_only,False
RANDOM,77,2151808,0.7699996815237621,322838,1828970,643,5639,1996.220308637769,2071.5748288389536,-75.35452020118464,point_estimate_only,False
RANDOM,78,2179754,0.779999835394304,327022,1852732,646,5707,2047.109007956651,2098.4788231389716,-51.36981518232051,point_estimate_only,False
RANDOM,79,2207700,0.7899999892648459,331247,1876453,657,5772,2050.216494036172,2125.38281743899,-75.16632340281785,point_estimate_only,False
RANDOM,80,2235645,0.7999997852969183,335449,1900196,669,5860,2070.3594764032687,2152.2858490254066,-81.92637262213793,point_estimate_only,False
RANDOM,81,2263591,0.8099999391674602,339732,1923859,676,5942,2113.8981903382664,2179.1898433254246,-65.29165298715816,point_estimate_only,False
RANDOM,82,2291536,0.8199997351995325,343928,1947608,683,6017,2149.282733595404,2206.0928749118416,-56.810141316437694,point_estimate_only,False
RANDOM,83,2319482,0.8299998890700744,348098,1971384,690,6081,2173.3218174192325,2232.9968692118596,-59.67505179262707,point_estimate_only,False
RANDOM,84,2347427,0.8399996851021467,352212,1995215,701,6157,2185.966318580855,2259.8999007982766,-73.93358221742164,point_estimate_only,False
RANDOM,85,2375373,0.8499998389726887,356375,2018998,707,6227,2221.5799059978954,2286.803895098295,-65.22398910039965,point_estimate_only,False
