scope_id,utc_date,active_users,buyers,event_records,view_events,cart_events,remove_from_cart_events,purchase_events,sessions,purchase_sessions,purchase_amount_bad,purchase_amount_valid,purchase_zero_events,first_seen_users,purchase_amount,count_allowed,amount_allowed,amount_status,date_reason_codes,buyer_rate,amount_per_buyer,first_seen_ratio,buyer_rate_status,amount_per_buyer_status,first_seen_ratio_status,quality_and_history_pass,check_version
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-01,9551,682,61327,59457,878,0,992,13396,801,0,992,0,9551,325065.85,True,True,complete_observed,[],0.07140613548319548,476.63614369501465,1.0,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-02,9338,675,59567,57760,881,0,926,13203,779,0,926,0,7722,322531.41,True,True,complete_observed,[],0.07228528592846434,477.82431111111106,0.826943671021632,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-03,8453,691,55596,53704,921,0,971,11889,812,0,971,0,6103,306999.13,True,True,complete_observed,[],0.08174612563586892,444.2823878437048,0.7219921921211404,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-04,10360,945,70345,66920,2112,0,1313,14804,1108,0,1313,0,6957,421496.80,True,True,complete_observed,[],0.09121621621621621,446.02835978835975,0.6715250965250965,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-05,9654,828,65613,62767,1689,0,1157,13756,989,0,1157,0,6195,392555.09,True,True,complete_observed,[],0.08576755748912368,474.1003502415459,0.641702921068987,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-06,9567,805,64035,61471,1497,0,1067,13330,915,0,1067,0,5755,318133.79,True,True,complete_observed,[],0.08414340963729487,395.1972546583851,0.6015469844256298,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-07,9339,771,59762,57759,936,0,1067,13056,897,0,1067,0,5285,316133.71,True,True,complete_observed,[],0.08255701895277867,410.03075226977955,0.565906413962951,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-08,11031,770,67438,65518,884,0,1036,15364,913,0,1036,0,6411,302664.91,True,True,complete_observed,[],0.06980328166077418,393.07131168831165,0.5811803100353549,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-09,10566,801,66329,64285,886,0,1158,14884,947,0,1158,0,5714,401563.05,True,True,complete_observed,[],0.075809199318569,501.32715355805243,0.5407912171114897,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-10,10211,783,65410,63415,908,0,1087,14895,923,0,1087,0,5159,346769.91,True,True,complete_observed,[],0.0766820095974929,442.873448275862,0.5052394476544902,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
