utc_date,active_users,buyers,purchase_events,purchase_amount,buyer_rate,amount_per_buyer,first_seen_ratio,amount_status
2019-10-01,9551,682,992,325065.85,0.07140613548319548,476.63614369501465,1.0,complete_observed
2019-10-02,9338,675,926,322531.41,0.07228528592846434,477.82431111111106,0.826943671021632,complete_observed
2019-10-03,8453,691,971,306999.13,0.08174612563586892,444.2823878437048,0.7219921921211404,complete_observed
2019-10-04,10360,945,1313,421496.80,0.09121621621621621,446.02835978835975,0.6715250965250965,complete_observed
2019-10-05,9654,828,1157,392555.09,0.08576755748912368,474.1003502415459,0.641702921068987,complete_observed
2019-10-06,9567,805,1067,318133.79,0.08414340963729487,395.1972546583851,0.6015469844256298,complete_observed
2019-10-07,9339,771,1067,316133.71,0.08255701895277867,410.03075226977955,0.565906413962951,complete_observed
2019-10-08,11031,770,1036,302664.91,0.06980328166077418,393.07131168831165,0.5811803100353549,complete_observed
2019-10-09,10566,801,1158,401563.05,0.075809199318569,501.32715355805243,0.5407912171114897,complete_observed
2019-10-10,10211,783,1087,346769.91,0.0766820095974929,442.873448275862,0.5052394476544902,complete_observed
2019-10-11,11594,948,1335,415980.94,0.08176643091254097,438.79845991561183,0.48318095566672414,complete_observed
2019-10-12,10505,901,1243,377794.50,0.0857686815801999,419.30577136514984,0.4513089005235602,complete_observed
2019-10-13,11286,1078,1499,412334.49,0.09551656920077972,382.49952690166975,0.42300194931773877,complete_observed
2019-10-14,10505,965,1454,489641.53,0.09186101856258924,507.40054922279796,0.399428843407901,complete_observed
2019-10-15,11662,936,1301,410876.16,0.08026067569885097,438.9702564102564,0.4086777568170125,complete_observed
2019-10-16,11434,1128,1635,546884.71,0.09865313975861466,484.82687056737586,0.4246982683225468,complete_observed
2019-10-17,10497,999,1457,488219.86,0.09517004858531009,488.7085685685686,0.3892540725921692,complete_observed
2019-10-18,11493,946,1395,469326.45,0.08231097189593665,496.11675475687105,0.3892804315670408,complete_observed
2019-10-19,10803,897,1243,366638.25,0.08303249097472924,408.7382943143813,0.3827640470239748,complete_observed
2019-10-20,11602,947,1290,377149.29,0.0816238579555249,398.2569060190074,0.39631098086536803,complete_observed
2019-10-21,11147,939,1325,385853.22,0.08423791154570737,410.91929712460063,0.3934690948237194,complete_observed
2019-10-22,11160,938,1285,416067.48,0.08405017921146954,443.5687420042644,0.3922043010752688,complete_observed
2019-10-23,10975,858,1154,370069.30,0.07817767653758542,431.3162004662004,0.38842824601366743,complete_observed
2019-10-24,10108,852,1158,363062.27,0.08428967154728928,426.1294248826291,0.370399683419074,complete_observed
2019-10-25,10917,886,1228,368832.94,0.08115782724191628,416.29,0.33791334615736923,complete_observed
2019-10-26,10104,863,1177,354319.18,0.0854117181314331,410.5668366164542,0.33966745843230406,complete_observed
2019-10-27,9920,809,1148,337914.99,0.08155241935483871,417.6946724351051,0.353125,complete_observed
2019-10-28,9742,765,1093,331007.63,0.07852597002668857,432.68971241830064,0.3303223157462533,complete_observed
2019-10-29,9582,672,917,286352.50,0.07013149655604257,426.1197916666667,0.32895011479858066,complete_observed
2019-10-30,9475,754,978,297654.16,0.0795778364116095,394.76679045092834,0.32116094986807386,complete_observed
2019-10-31,10079,724,930,278736.72,0.07183252306776466,384.9954696132596,0.32086516519495983,complete_observed
