scenario,experiment_id,N,p0,target_relative_lift,target_delta,target_delta_fraction,q,K,flips_B,tau,tau_fraction,buyers_A,buyers_B,n_A,n_B,method,unit,status,reason,mean_A,mean_B,difference,se,df,ci_low,ci_high,p_value,difference_pp,difference_per_10000,relative_change,srm_status,srm_statistic,srm_p,srm_flag,estimation_error,ci_contains_tau,significant,target_delta_pp,target_delta_per_10000,tau_pp,tau_per_10000,estimation_error_pp,ci_low_pp,ci_high_pp,ci_low_per_10000,ci_high_per_10000,decision_status
S0,rees46-injected-v1-0001,84165,0.05717340937444306,0,0.0,0,0.0,0,0,0.0,0,2467,2345,42127,42038,unpooled_wald_z_min_cell_10,probability,ok,,0.05856101787452228,0.055782863123840336,-0.002778154750681945,0.0016005128913465611,,-0.005915102374513273,0.00035879287314938323,0.08260091998681293,-0.2778154750681945,-27.78154750681945,-0.047440342595045926,ok,0.09411275470801402,0.7590123381401744,False,-0.002778154750681943,True,False,0.0,0.0,0.0,0.0,-0.2778154750681943,-0.5915102374513272,0.03587928731493832,-59.15102374513273,3.5879287314938324,simulation_only_not_real_strategy_evidence
S1,rees46-injected-v1-0001,84165,0.05717340937444306,0.1,0.005717340937444306,802/140275,0.006064042947336585,488,241,0.00579813461652706,488/84165,2467,2586,42127,42038,unpooled_wald_z_min_cell_10,probability,ok,,0.05856101787452228,0.061515771444883204,0.0029547535703609226,0.0016376872142213623,,-0.00025505438745467967,0.006164561528176525,0.07119629466598748,0.2954753570360923,29.547535703609228,0.05045598040478094,ok,0.09411275470801402,0.7590123381401744,False,-0.0028433810461661367,True,False,0.5717340937444306,57.17340937444306,0.579813461652706,57.9813461652706,-0.2843381046166137,-0.025505438745467967,0.6164561528176525,-2.5505438745467965,61.64561528176525,simulation_only_not_real_strategy_evidence
