metric_version,contract_version,date_policy_version,brand_mapping_version,brand_mapping_sha256,source_id,source_run,input_sha256,observation_start_utc,observation_end_exclusive_utc,scope_id,utc_date,active_users,buyers,event_records,view_events,cart_events,remove_from_cart_events,purchase_events,sessions,purchase_sessions,purchase_amount,purchase_amount_bad,purchase_amount_valid,purchase_zero_events,first_seen_users,count_allowed,amount_allowed,amount_status,date_reason_codes,buyer_rate,amount_per_buyer,first_seen_ratio,buyer_rate_status,amount_per_buyer_status,first_seen_ratio_status
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-01,9551,682,61327,59457,878,0,992,13396,801,325065.85,0,992,0,9551,True,True,complete_observed,[],0.07140613548319548,476.63614369501465,1.0,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-02,9338,675,59567,57760,881,0,926,13203,779,322531.41,0,926,0,7722,True,True,complete_observed,[],0.07228528592846434,477.82431111111106,0.826943671021632,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-03,8453,691,55596,53704,921,0,971,11889,812,306999.13,0,971,0,6103,True,True,complete_observed,[],0.08174612563586892,444.2823878437048,0.7219921921211404,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-04,10360,945,70345,66920,2112,0,1313,14804,1108,421496.80,0,1313,0,6957,True,True,complete_observed,[],0.09121621621621621,446.02835978835975,0.6715250965250965,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-05,9654,828,65613,62767,1689,0,1157,13756,989,392555.09,0,1157,0,6195,True,True,complete_observed,[],0.08576755748912368,474.1003502415459,0.641702921068987,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-06,9567,805,64035,61471,1497,0,1067,13330,915,318133.79,0,1067,0,5755,True,True,complete_observed,[],0.08414340963729487,395.1972546583851,0.6015469844256298,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-07,9339,771,59762,57759,936,0,1067,13056,897,316133.71,0,1067,0,5285,True,True,complete_observed,[],0.08255701895277867,410.03075226977955,0.565906413962951,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-08,11031,770,67438,65518,884,0,1036,15364,913,302664.91,0,1036,0,6411,True,True,complete_observed,[],0.06980328166077418,393.07131168831165,0.5811803100353549,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-09,10566,801,66329,64285,886,0,1158,14884,947,401563.05,0,1158,0,5714,True,True,complete_observed,[],0.075809199318569,501.32715355805243,0.5407912171114897,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-10,10211,783,65410,63415,908,0,1087,14895,923,346769.91,0,1087,0,5159,True,True,complete_observed,[],0.0766820095974929,442.873448275862,0.5052394476544902,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-11,11594,948,76636,74191,1110,0,1335,16867,1147,415980.94,0,1335,0,5602,True,True,complete_observed,[],0.08176643091254097,438.79845991561183,0.48318095566672414,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-12,10505,901,74840,72475,1122,0,1243,15325,1053,377794.50,0,1243,0,4741,True,True,complete_observed,[],0.0857686815801999,419.30577136514984,0.4513089005235602,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-13,11286,1078,81440,78671,1270,0,1499,16586,1267,412334.49,0,1499,0,4774,True,True,complete_observed,[],0.09551656920077972,382.49952690166975,0.42300194931773877,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-14,10505,965,71878,68277,2147,0,1454,15406,1209,489641.53,0,1454,0,4196,True,True,complete_observed,[],0.09186101856258924,507.40054922279796,0.399428843407901,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-15,11662,936,77735,73919,2515,0,1301,17065,1120,410876.16,0,1301,0,4766,True,True,complete_observed,[],0.08026067569885097,438.9702564102564,0.4086777568170125,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-16,11434,1128,78750,74685,2430,0,1635,16540,1363,546884.71,0,1635,0,4856,True,True,complete_observed,[],0.09865313975861466,484.82687056737586,0.4246982683225468,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-17,10497,999,70909,67446,2006,0,1457,15189,1251,488219.86,0,1457,0,4086,True,True,complete_observed,[],0.09517004858531009,488.7085685685686,0.3892540725921692,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-18,11493,946,73358,69878,2085,0,1395,16539,1133,469326.45,0,1395,0,4474,True,True,complete_observed,[],0.08231097189593665,496.11675475687105,0.3892804315670408,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-19,10803,897,72477,69285,1949,0,1243,15906,1061,366638.25,0,1243,0,4135,True,True,complete_observed,[],0.08303249097472924,408.7382943143813,0.3827640470239748,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-20,11602,947,77383,74052,2041,0,1290,17013,1108,377149.29,0,1290,0,4598,True,True,complete_observed,[],0.0816238579555249,398.2569060190074,0.39631098086536803,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-21,11147,939,71121,67912,1884,0,1325,15858,1120,385853.22,0,1325,0,4386,True,True,complete_observed,[],0.08423791154570737,410.91929712460063,0.3934690948237194,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-22,11160,938,71284,68163,1836,0,1285,15886,1091,416067.48,0,1285,0,4377,True,True,complete_observed,[],0.08405017921146954,443.5687420042644,0.3922043010752688,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-23,10975,858,68176,65337,1685,0,1154,15434,989,370069.30,0,1154,0,4263,True,True,complete_observed,[],0.07817767653758542,431.3162004662004,0.38842824601366743,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-24,10108,852,64470,61385,1927,0,1158,14452,1010,363062.27,0,1158,0,3744,True,True,complete_observed,[],0.08428967154728928,426.1294248826291,0.370399683419074,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-25,10917,886,70107,66963,1916,0,1228,15639,1040,368832.94,0,1228,0,3689,True,True,complete_observed,[],0.08115782724191628,416.29,0.33791334615736923,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-26,10104,863,66104,63146,1781,0,1177,14301,1008,354319.18,0,1177,0,3432,True,True,complete_observed,[],0.0854117181314331,410.5668366164542,0.33966745843230406,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-27,9920,809,67261,64386,1727,0,1148,14315,985,337914.99,0,1148,0,3503,True,True,complete_observed,[],0.08155241935483871,417.6946724351051,0.353125,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-28,9742,765,62666,60652,921,0,1093,14018,912,331007.63,0,1093,0,3218,True,True,complete_observed,[],0.07852597002668857,432.68971241830064,0.3303223157462533,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-29,9582,672,61304,59538,849,0,917,13794,785,286352.50,0,917,0,3152,True,True,complete_observed,[],0.07013149655604257,426.1197916666667,0.32895011479858066,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-30,9475,754,58485,56638,869,0,978,13653,851,297654.16,0,978,0,3043,True,True,complete_observed,[],0.0795778364116095,394.76679045092834,0.32116094986807386,defined,defined,defined
rees46-metrics-v1,rees46-events-v1.0.1,rees46-date-quality-v1,rees46-brand-oct01-07-top200-v1,0269eb8ba2f91b9adca762f41a8a82707edc2e774f3edcfd167d1f9a885a407b,rees46_multicategory_2019_oct,month-v101-01,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,2019-10-01,2019-11-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-31,10079,724,62275,60535,810,0,930,14138,819,278736.72,0,930,0,3234,True,True,complete_observed,[],0.07183252306776466,384.9954696132596,0.32086516519495983,defined,defined,defined
