experiment_id,metric,n_A,n_B,method,unit,status,reason,mean_A,mean_B,difference,se,df,ci_low,ci_high,p_value,difference_pp,difference_per_10000,relative_change,srm_status,srm_statistic,srm_p,srm_flag,business_use,converted_A,converted_B,amount_cents_A,amount_cents_B
rees46-aa-v1-0001,post_converted,42083,42082,unpooled_wald_z_min_cell_10,probability,ok,,0.054725185942066865,0.05962169098426881,0.004896505042201946,0.0016004910466580248,,0.001759600233173402,0.008033409851230489,0.002217980545905121,0.48965050422019457,48.96505042201946,0.08947443408206014,ok,1.1881423394522664e-05,0.9972497419939068,False,offline_aa_only,2303,2509,159791903,190164450
rees46-aa-v1-0001,post_purchase_amount,42083,42082,welch_t,observed_amount_per_enrolled_user,ok,,37.970653945773826,45.189023810655385,7.218369864881559,3.3906038581718385,77796.73826221295,0.5728050250911307,13.863934704671987,0.03326290125146206,,,,ok,1.1881423394522664e-05,0.9972497419939068,False,offline_aa_only,2303,2509,159791903,190164450
rees46-aa-v1-0002,post_converted,42458,41707,unpooled_wald_z_min_cell_10,probability,ok,,0.05695039804041641,0.057400436377586496,0.00045003833717008335,0.0016006950449661676,,-0.0026872663011953276,0.0035873429755354943,0.7785939510130633,0.045003833717008335,4.500383371700833,0.00790228607095426,ok,6.701134675934177,0.00963515751481106,False,offline_aa_only,2418,2394,175512742,174443611
rees46-aa-v1-0002,post_purchase_amount,42458,41707,welch_t,observed_amount_per_enrolled_user,ok,,41.33796740308069,41.82597909223871,0.4880116891580215,3.393599351584643,83163.13003807914,-6.163417623465299,7.139441001781342,0.8856559351255829,,,,ok,6.701134675934177,0.00963515751481106,False,offline_aa_only,2418,2394,175512742,174443611
rees46-aa-v1-0003,post_converted,42401,41764,unpooled_wald_z_min_cell_10,probability,ok,,0.05742789085163086,0.05691504645148932,-0.0005128444001415364,0.0016005731014807525,,-0.003649910033667384,0.0026242212333843114,0.7486552857791351,-0.05128444001415364,-5.128444001415364,-0.008930232201396831,ok,4.821113289372067,0.028113181801436484,False,offline_aa_only,2435,2377,178660231,171296122
rees46-aa-v1-0003,post_purchase_amount,42401,41764,welch_t,observed_amount_per_enrolled_user,ok,,42.13585316384048,41.015257638157266,-1.120595525683214,3.3905314693170294,84160.44565499655,-7.766010665897516,5.524819614531088,0.7410174727068033,,,,ok,4.821113289372067,0.028113181801436484,False,offline_aa_only,2435,2377,178660231,171296122
rees46-aa-v1-0004,post_converted,41883,42282,unpooled_wald_z_min_cell_10,probability,ok,,0.05651457631974787,0.05782602525897545,0.0013114489392275774,0.0016005091230533882,,-0.001825491298884849,0.004448389177340004,0.4125611699750974,0.13114489392275774,13.114489392275775,0.023205498910717628,ok,1.8915344858314027,0.1690289483657615,False,offline_aa_only,2367,2445,161694732,188261621
rees46-aa-v1-0004,post_purchase_amount,41883,42282,welch_t,observed_amount_per_enrolled_user,ok,,38.60629181290738,44.525240291376946,5.9189484784695665,3.385718096583662,77270.95560525634,-0.7170409981035633,12.554937955042696,0.08043152712268883,,,,ok,1.8915344858314027,0.1690289483657615,False,offline_aa_only,2367,2445,161694732,188261621
rees46-aa-v1-0005,post_converted,42054,42111,unpooled_wald_z_min_cell_10,probability,ok,,0.057877966424121366,0.05646980598893401,-0.001408160435187357,0.0016005848192307366,,-0.004545249035081154,0.0017289281647064397,0.3789792043731165,-0.1408160435187357,-14.081604351873569,-0.024329818792674245,ok,0.03860274460880413,0.8442377631069674,False,offline_aa_only,2434,2378,180598243,169358110
rees46-aa-v1-0005,post_purchase_amount,42054,42111,welch_t,observed_amount_per_enrolled_user,ok,,42.94436747990679,40.217071549001446,-2.727295930905342,3.3911873075020935,80073.85504628593,-9.374001387382352,3.919409525571668,0.42126631155535643,,,,ok,0.03860274460880413,0.8442377631069674,False,offline_aa_only,2434,2378,180598243,169358110
