model,valid_arm,n,conversion,corresponding_constant,status,factual_logloss,fit_global_constant_logloss,fit_arm_constant_logloss,improvement_vs_corresponding_constant
RESPONSE_MODEL,all,2797762,8261,fit_global,ok,0.011885289983336416,0.020148353250470617,0.020117919178262243,0.008263063267134201
RESPONSE_MODEL,0,419883,837,fit_global,ok,0.008547884609930733,0.014548704868963844,0.014388142770437274,0.006000820259033111
RESPONSE_MODEL,1,2377879,7424,fit_global,ok,0.01247460499070294,0.021137132394141177,0.021129676171551967,0.008662527403438237
S_LEARNER,all,2797762,8261,fit_arm,ok,0.011871766321292375,0.020148353250470617,0.020117919178262243,0.008246152856969868
S_LEARNER,0,419883,837,fit_arm,ok,0.008452421604984772,0.014548704868963844,0.014388142770437274,0.005935721165452502
S_LEARNER,1,2377879,7424,fit_arm,ok,0.012475550078799543,0.021137132394141177,0.021129676171551967,0.008654126092752424
T_LEARNER,all,2797762,8261,fit_arm,ok,0.011872689009931901,0.020148353250470617,0.020117919178262243,0.008245230168330342
T_LEARNER,0,419883,837,fit_arm,ok,0.008551494474483457,0.014548704868963844,0.014388142770437274,0.005836648295953817
T_LEARNER,1,2377879,7424,fit_arm,ok,0.01245914152712378,0.021137132394141177,0.021129676171551967,0.008670534644428187
