source_id,scope_id,input_sha256,contract_version,source_run,utc_date,policy_version,count_allowed,amount_allowed,status,reason_codes,warnings,record_count,event_eligible_records,core_ineligible_records,amount_status,evidence,release_scope
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-13,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 12065, ""category_code_missing"": 27252, ""zero_price_view"": 52}",81440,81440,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-14,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9018, ""category_code_missing"": 21291, ""zero_price_cart"": 1, ""zero_price_view"": 207}",71878,71878,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-15,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9915, ""category_code_missing"": 23845, ""zero_price_cart"": 4, ""zero_price_view"": 216}",77735,77735,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-16,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 10416, ""category_code_missing"": 24167, ""zero_price_view"": 81}",78750,78750,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-17,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9616, ""category_code_missing"": 20730, ""zero_price_view"": 70}",70909,70909,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-18,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 10827, ""category_code_missing"": 22128, ""zero_price_view"": 103}",73358,73358,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-19,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 10228, ""category_code_missing"": 21977, ""zero_price_view"": 109}",72477,72477,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-20,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 10262, ""category_code_missing"": 24006, ""zero_price_view"": 32}",77383,77383,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-21,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9365, ""category_code_missing"": 21812, ""zero_price_view"": 43}",71121,71121,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-22,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9578, ""category_code_missing"": 21821, ""zero_price_view"": 65}",71284,71284,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-23,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9414, ""category_code_missing"": 20876, ""zero_price_view"": 73}",68176,68176,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-24,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 8880, ""category_code_missing"": 19621, ""zero_price_cart"": 1, ""zero_price_view"": 187}",64470,64470,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-25,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 11700, ""category_code_missing"": 21465, ""zero_price_view"": 249}",70107,70107,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-26,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9631, ""category_code_missing"": 19959, ""zero_price_view"": 51}",66104,66104,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-27,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9801, ""category_code_missing"": 21116, ""zero_price_view"": 41}",67261,67261,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-28,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 10339, ""category_code_missing"": 20038, ""zero_price_view"": 71}",62666,62666,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-29,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9644, ""category_code_missing"": 19505, ""zero_price_view"": 98}",61304,61304,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-30,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9050, ""category_code_missing"": 17713, ""zero_price_view"": 85}",58485,58485,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
rees46_multicategory_2019_oct,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,5bfc34f9c683a81ecb5eef6853a62ed454a76eca3244c9b7d80a426b8100055b,rees46-events-v1.0.1,month-v101-01,2019-10-31,rees46-date-quality-v1,True,True,allowed_with_warnings,[],"{""brand_missing"": 9665, ""category_code_missing"": 19180, ""zero_price_view"": 30}",62275,62275,0,complete_observed,completed_receipts+independent_multisets+daily_counts+immutable_file_hashes,T1.1_data_use_conditions_only
