baseline_multiplier,p_hist,historical_eligible_users,p0,p1,relative_mde,absolute_difference_pp,alpha,power,n_per_arm,n_total,status,within_historical_count,interpretation
0.5,0.03245926680244399185336048880,7856,0.016229633401221997,0.017041115071283097,0.05,0.08114816700610997,0.05,0.8,389966,779932,planning_approximation,False,planning_assumption_not_future_reachable_traffic
0.5,0.03245926680244399185336048880,7856,0.016229633401221997,0.0178525967413442,0.1,0.16229633401222027,0.05,0.8,99828,199656,planning_approximation,False,planning_assumption_not_future_reachable_traffic
0.5,0.03245926680244399185336048880,7856,0.016229633401221997,0.019475560081466396,0.2,0.32459266802443987,0.05,0.8,26123,52246,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1,0.03245926680244399185336048880,7856,0.032459266802443994,0.03408223014256619,0.05,0.16229633401221993,0.05,0.8,191684,383368,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1,0.03245926680244399185336048880,7856,0.032459266802443994,0.0357051934826884,0.1,0.32459266802444053,0.05,0.8,49048,98096,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1,0.03245926680244399185336048880,7856,0.032459266802443994,0.03895112016293279,0.2,0.6491853360488797,0.05,0.8,12824,25648,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1.5,0.03245926680244399185336048880,7856,0.04868890020366599,0.051123345213849286,0.05,0.2434445010183299,0.05,0.8,125590,251180,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1.5,0.03245926680244399185336048880,7856,0.04868890020366599,0.05355779022403259,0.1,0.4868890020366605,0.05,0.8,32122,64244,planning_approximation,False,planning_assumption_not_future_reachable_traffic
1.5,0.03245926680244399185336048880,7856,0.04868890020366599,0.05842668024439918,0.2,0.9737780040733196,0.05,0.8,8391,16782,planning_approximation,False,planning_assumption_not_future_reachable_traffic
