scope_id,reference_run_id,utc_date,expected_coverage_records,record_count,raw_users,users,buyers,purchase_events,purchase_price_bad_eligible,purchase_price_bad_all,purchase_amount,time_min,time_max,amount_status,flags.time_missing,flags.time_invalid,flags.user_id_missing,flags.user_id_invalid,flags.product_id_missing,flags.product_id_invalid,flags.category_id_missing,flags.category_id_invalid,flags.category_code_missing,flags.brand_missing,flags.session_missing,flags.event_type_unknown,flags.price_missing,flags.price_invalid,flags.price_nonfinite,flags.price_negative,flags.price_zero,flags.price_precision_exceeded,flags.price_scale_exceeded,flags.event_eligible,flags.amount_eligible,behaviors.view,behaviors.cart,behaviors.purchase,zero_by_behavior.view,zero_by_behavior.cart,zero_by_behavior.remove_from_cart,zero_by_behavior.purchase,zero_by_behavior.__unknown__,all_independent_fields_equal,rerun_equal,formal_analysis_release
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-16,78750,78750,11434,11434,1128,1635,0,0,546884.71,2019-10-16T00:00:40+00:00,2019-10-16T23:59:52+00:00,complete_observed,0,0,0,0,0,0,0,0,24167,10416,0,0,0,0,0,0,81,0,0,78750,1635,74685,2430,1635,81,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-17,70909,70909,10497,10497,999,1457,0,0,488219.86,2019-10-17T00:00:04+00:00,2019-10-17T23:59:51+00:00,complete_observed,0,0,0,0,0,0,0,0,20730,9616,0,0,0,0,0,0,70,0,0,70909,1457,67446,2006,1457,70,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-18,73358,73358,11493,11493,946,1395,0,0,469326.45,2019-10-18T00:00:02+00:00,2019-10-18T23:59:53+00:00,complete_observed,0,0,0,0,0,0,0,0,22128,10827,0,0,0,0,0,0,103,0,0,73358,1395,69878,2085,1395,103,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-19,72477,72477,10803,10803,897,1243,0,0,366638.25,2019-10-19T00:00:02+00:00,2019-10-19T23:59:55+00:00,complete_observed,0,0,0,0,0,0,0,0,21977,10228,0,0,0,0,0,0,109,0,0,72477,1243,69285,1949,1243,109,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-20,77383,77383,11602,11602,947,1290,0,0,377149.29,2019-10-20T00:00:01+00:00,2019-10-20T23:59:26+00:00,complete_observed,0,0,0,0,0,0,0,0,24006,10262,0,0,0,0,0,0,32,0,0,77383,1290,74052,2041,1290,32,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-21,71121,71121,11147,11147,939,1325,0,0,385853.22,2019-10-21T00:00:09+00:00,2019-10-21T23:59:50+00:00,complete_observed,0,0,0,0,0,0,0,0,21812,9365,0,0,0,0,0,0,43,0,0,71121,1325,67912,1884,1325,43,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-22,71284,71284,11160,11160,938,1285,0,0,416067.48,2019-10-22T00:00:06+00:00,2019-10-22T23:59:58+00:00,complete_observed,0,0,0,0,0,0,0,0,21821,9578,0,0,0,0,0,0,65,0,0,71284,1285,68163,1836,1285,65,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-23,68176,68176,10975,10975,858,1154,0,0,370069.30,2019-10-23T00:00:12+00:00,2019-10-23T23:59:55+00:00,complete_observed,0,0,0,0,0,0,0,0,20876,9414,0,0,0,0,0,0,73,0,0,68176,1154,65337,1685,1154,73,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-24,64470,64470,10108,10108,852,1158,0,0,363062.27,2019-10-24T00:00:00+00:00,2019-10-24T23:59:44+00:00,complete_observed,0,0,0,0,0,0,0,0,19621,8880,0,0,0,0,0,0,188,0,0,64470,1158,61385,1927,1158,187,1,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-25,70107,70107,10917,10917,886,1228,0,0,368832.94,2019-10-25T00:00:00+00:00,2019-10-25T23:59:08+00:00,complete_observed,0,0,0,0,0,0,0,0,21465,11700,0,0,0,0,0,0,249,0,0,70107,1228,66963,1916,1228,249,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-26,66104,66104,10104,10104,863,1177,0,0,354319.18,2019-10-26T00:00:05+00:00,2019-10-26T23:59:41+00:00,complete_observed,0,0,0,0,0,0,0,0,19959,9631,0,0,0,0,0,0,51,0,0,66104,1177,63146,1781,1177,51,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-27,67261,67261,9920,9920,809,1148,0,0,337914.99,2019-10-27T00:00:15+00:00,2019-10-27T23:59:37+00:00,complete_observed,0,0,0,0,0,0,0,0,21116,9801,0,0,0,0,0,0,41,0,0,67261,1148,64386,1727,1148,41,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-28,62666,62666,9742,9742,765,1093,0,0,331007.63,2019-10-28T00:00:01+00:00,2019-10-28T23:59:58+00:00,complete_observed,0,0,0,0,0,0,0,0,20038,10339,0,0,0,0,0,0,71,0,0,62666,1093,60652,921,1093,71,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-29,61304,61304,9582,9582,672,917,0,0,286352.50,2019-10-29T00:00:07+00:00,2019-10-29T23:59:54+00:00,complete_observed,0,0,0,0,0,0,0,0,19505,9644,0,0,0,0,0,0,98,0,0,61304,917,59538,849,917,98,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-30,58485,58485,9475,9475,754,978,0,0,297654.16,2019-10-30T00:00:07+00:00,2019-10-30T23:59:55+00:00,complete_observed,0,0,0,0,0,0,0,0,17713,9050,0,0,0,0,0,0,85,0,0,58485,978,56638,869,978,85,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-31,62275,62275,10079,10079,724,930,0,0,278736.72,2019-10-31T00:00:04+00:00,2019-10-31T23:59:56+00:00,complete_observed,0,0,0,0,0,0,0,0,19180,9665,0,0,0,0,0,0,30,0,0,62275,930,60535,810,930,30,0,0,0,0,pass,pass,not_granted
