metric,history_days,current_total,current_unknown,current_known_coverage,history_total,history_unknown,history_known_coverage
event_records,3,70107,21465,0.693825152980444178184774701527664855,220339,68980,0.686936947158696372407971353232972828
purchase_events,3,1228,302,0.754071661237785016286644951140065147,4043,939,0.767746722730645560227553796685629483
purchase_amount,3,368832.94,45474.37,0.876707405797323850738494235357612040,1306804.19,138402.28,0.894091034403555133994481606307062728
