round,effect,N,p0,delta,delta_fraction,delta_pp,q,q_fraction,n_A,n_B,K,tau,flips_B,buyers_A,buyers_B,mean_A,mean_B,difference,difference_pp,difference_per_10000,relative_change,se,ci_low,ci_high,p_value,df,method,unit,status,reason,estimation_error,two_sided_rejection,positive_rejection,negative_rejection,srm_status,srm_statistic,srm_p,srm_flag
5,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,42060,42105,544,0.006463494326620329,296,2372,2736,0.05639562529719448,0.0649804061275383,0.008584780830343822,0.8584780830343821,85.84780830343821,0.15222423344193134,0.0016456702382711855,0.005359326432902848,0.011810235227784795,1.8225067641723424e-07,,unpooled_wald_z_min_cell_10,probability,ok,,0.002121286503723484,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
5,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,42060,42105,730,0.008673439078001544,389,2372,2829,0.05639562529719448,0.06718916993231208,0.0107935446351176,1.07935446351176,107.935446351176,0.19138975014883905,0.001659444361180511,0.00754109345285572,0.014045995817379479,7.804951828967423e-11,,unpooled_wald_z_min_cell_10,probability,ok,,0.0021201055571160483,True,True,False,ok,0.024059882373908395,0.8767326413050505,False
6,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,41993,42172,0,0.0,0,2435,2377,0.05798585478532136,0.05636441240633596,-0.0016214423789853993,-0.16214423789853993,-16.214423789853992,-0.02796272271898722,0.0016006184765735233,-0.004758596946058873,0.0015157121880880744,0.3110554274096723,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0016214423789854056,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,41993,42172,78,0.0009267510247727678,41,2435,2418,0.05798585478532136,0.05733662145499383,-0.0006492333303275283,-0.06492333303275283,-6.492333303275283,-0.011196408722974905,0.0016069884052141985,-0.003798872728120816,0.0025004060674657593,0.6862081364978374,,unpooled_wald_z_min_cell_10,probability,ok,,-0.001575984355100296,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,41993,42172,175,0.002079249094041466,85,2435,2462,0.05798585478532136,0.05837996775111448,0.0003941129657931211,0.03941129657931211,3.941129657931211,0.006796708736160384,0.0016137810065394234,-0.0027688396859589463,0.0035570656175451885,0.8070626608786678,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0016851361282483458,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,41993,42172,251,0.002982237272025189,125,2435,2502,0.05798585478532136,0.05932846438395144,0.0013426095986300776,0.13426095986300776,13.426095986300776,0.023154088244465236,0.0016199175553191496,-0.0018323704677196263,0.004517589664979782,0.40720992700480174,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0016396276733951147,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,41993,42172,347,0.004122853917899364,175,2435,2552,0.05798585478532136,0.06051408517499763,0.00252823038967627,0.252823038967627,25.2823038967627,0.04360081262984624,0.0016275372726303956,-0.0006616840481758527,0.005718144827528393,0.12032555058049339,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0015946235282230986,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,41993,42172,403,0.004788213627992633,199,2435,2576,0.05798585478532136,0.0610831831546998,0.003097328369378441,0.3097328369378441,30.97328369378441,0.053415240334829105,0.0016311748356778206,-9.971556103812807e-05,0.0062943722997950095,0.0575864559610154,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0016908852586141959,False,False,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,41993,42172,441,0.005239707716984495,221,2435,2598,0.05798585478532136,0.06160485630276012,0.003619001517438762,0.36190015174387624,36.19001517438762,0.06241179906439669,0.0016344980293918005,0.0004154442470291424,0.006822558787848381,0.026819400065850846,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0016207061995457326,True,True,False,ok,0.3806926869839007,0.5372327549826151,False
6,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,41993,42172,507,0.006023881661022991,250,2435,2627,0.05798585478532136,0.062292516361566914,0.004306661576245555,0.43066615762455546,43.06661576245555,0.0742708992079177,0.0016388622909559076,0.0010945505103511725,0.007518772642139937,0.008592989401158532,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0017172200847774372,True,True,False,ok,0.3806926869839007,0.5372327549826151,False
6,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,41993,42172,693,0.008233826412404206,352,2435,2729,0.05798585478532136,0.06471118277530115,0.006725327989979789,0.6725327989979789,67.25327989979789,0.11598221695409498,0.0016540671275625603,0.0034834159919455514,0.009967239988014026,4.784044753539562e-05,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0015084984224244214,True,True,False,ok,0.3806926869839007,0.5372327549826151,False
7,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,41945,42220,0,0.0,0,2397,2415,0.05714626296340446,0.05720037896731407,5.411600390961557e-05,0.005411600390961557,0.5411600390961557,0.0009469736270291303,0.001600585480490203,-0.0030829738920289196,0.0031912058998481508,0.9730285576255061,,unpooled_wald_z_min_cell_10,probability,ok,,5.4116003909610945e-05,False,False,False,ok,0.8985326442107765,0.34317546806662536,False
7,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,41945,42220,88,0.0010455652587179943,34,2397,2449,0.05714626296340446,0.05800568450971104,0.0008594215463065824,0.08594215463065824,8.594215463065824,0.01503898070914877,0.0016058488304809483,-0.002287984326051843,0.004006827418665008,0.5925239440684265,,unpooled_wald_z_min_cell_10,probability,ok,,-0.0001861437124114152,False,False,False,ok,0.8985326442107765,0.34317546806662536,False
7,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,41945,42220,169,0.0020079605536743304,80,2397,2495,0.05714626296340446,0.059095215537659875,0.0019489525742554178,0.19489525742554178,19.48952574255418,0.03410463734966354,0.0016129273375595098,-0.0012123269170412998,0.005110232065552136,0.22691937971943033,,unpooled_wald_z_min_cell_10,probability,ok,,-5.9007979418911566e-05,False,False,False,ok,0.8985326442107765,0.34317546806662536,False
