dim_name,current_total,history_mean_total,total_difference,js_divergence,js_status,same_direction_abs_sum,offsetting_abs_sum,buckets_to_same_direction_67pct,top_k
category_l1,368832.94,435601.396666666666666666666666666667,-66768.4566666666666666666666666666667,0.0034385697089916725,defined,69966.3566666666666666666666666666667,3197.9,1,3
brand_group,368832.94,435601.396666666666666666666666666667,-66768.4566666666666666666666666666667,0.03229964553774729,defined,89213.35,22444.8933333333333333333333333333333,5,3
price_band,368832.94,435601.396666666666666666666666666667,-66768.4566666666666666666666666666667,0.0006103310403743466,defined,66895.75,127.293333333333333333333333333333333,1,3
is_first_seen_day,368832.94,435601.396666666666666666666666666667,-66768.4566666666666666666666666666667,0.024365841919400277,defined,82086.3933333333333333333333333333333,15317.9366666666666666666666666666667,1,3
