alias,P_low,P_high,gap,positive_product_paths,pair_paths,pair_path_share,both_price_dates,distinct_pair_users,users_at_both_prices,compact_rows,numeric_array_bytes,low_paths,low_users,low_successes,low_first_date,low_last_date,low_days,low_path_share,high_paths,high_users,high_successes,high_first_date,high_last_date,high_days,high_path_share,branch,status,p_low,p_high,absolute_difference,difference_pp,relative_difference,relative_status,bootstrap_planned,bootstrap_valid,bootstrap_invalid,invalid_reason,interval_status,common_dates,common_date_list,common_date_path_coverage,evaluated_paths,bootstrap_relative_invalid,difference_ci_low_pp,difference_ci_high_pp,relative_ci_low,relative_ci_high,relative_valid
price_product_A,975.57,1007.97,0.03214381380398226137682669127,1948,1488,0.7638603696098562628336755647,0,1178,45,1374,43968,600,495,34,2019-10-01,2019-10-08,8,0.3080082135523613963039014374,888,728,36,2019-10-10,2019-10-22,13,0.4558521560574948665297741273,raw,defined,0.056666666666666664,0.04054054054054054,0.01612612612612612,1.6126126126126121,0.3977777777777776,defined,1000,1000,0,zero_price_denominator,descriptive_cluster_interval,0,,0,1488,0,-2.0529101427084706,6.074442599513955,-0.3901698032258438,1.8113632447043457,1000
price_product_A,975.57,1007.97,0.03214381380398226137682669127,1948,1488,0.7638603696098562628336755647,0,1178,45,1374,43968,600,495,34,2019-10-01,2019-10-08,8,0.3080082135523613963039014374,888,728,36,2019-10-10,2019-10-22,13,0.4558521560574948665297741273,date_standardized,date_comparison_not_supported,,,,,,not_available,1000,0,0,not_run_date_comparison_not_supported,not_available,0,,0,0,0,,,,,0
price_product_B,38.35,40.93,0.06303444905936965550940630344,1355,1279,0.9439114391143911439114391144,5,1085,22,1211,38752,268,253,3,2019-10-01,2019-10-28,9,0.1977859778597785977859778598,1011,854,45,2019-10-03,2019-10-30,26,0.7461254612546125461254612546,raw,defined,0.011194029850746268,0.04451038575667656,-0.033316355905930295,-3.3316355905930295,-0.7485074626865672,defined,1000,1000,0,zero_price_denominator,sparse_successes_not_suitable_for_inference,3,2019-10-03;2019-10-09;2019-10-28,0.08600469116497264,1279,0,-5.4512307570393945,-0.9861136550618659,-1.0,-0.30183837489854504,1000
price_product_B,38.35,40.93,0.06303444905936965550940630344,1355,1279,0.9439114391143911439114391144,5,1085,22,1211,38752,268,253,3,2019-10-01,2019-10-28,9,0.1977859778597785977859778598,1011,854,45,2019-10-03,2019-10-30,26,0.7461254612546125461254612546,date_standardized,defined,0.026060606060606062,0.0,0.026060606060606062,2.6060606060606064,,zero_high_rate,1000,1000,0,zero_common_date_price_denominator,sparse_successes_not_suitable_for_inference,3,2019-10-03;2019-10-09;2019-10-28,0.08600469116497264,110,1000,0.0,8.686868686868687,,,0
price_product_C,161.91,176.04,0.08026584867075664621676891616,570,548,0.9614035087719298245614035088,1,469,10,519,16608,279,240,3,2019-10-01,2019-10-23,23,0.4894736842105263157894736842,269,239,2,2019-10-23,2019-10-30,8,0.4719298245614035087719298246,raw,defined,0.010752688172043012,0.007434944237918215,0.0033177439341247963,0.3317743934124796,0.4462365591397851,defined,1000,1000,0,zero_price_denominator,sparse_successes_not_suitable_for_inference,0,,0,548,150,-1.2718564964966377,2.400041065546898,-1.0,5.461549220478898,850
price_product_C,161.91,176.04,0.08026584867075664621676891616,570,548,0.9614035087719298245614035088,1,469,10,519,16608,279,240,3,2019-10-01,2019-10-23,23,0.4894736842105263157894736842,269,239,2,2019-10-23,2019-10-30,8,0.4719298245614035087719298246,date_standardized,date_comparison_not_supported,,,,,,not_available,1000,0,0,not_run_date_comparison_not_supported,not_available,0,,0,0,0,,,,,0
