utc_date,purchase_events,purchase_product_ids,purchase_users,purchase_amount,mean_record_amount,history_dates,history_event_total,history_days,history_mean_events,history_mean_amount,history_weighted_record_amount,amount_difference,event_relative_change,mean_record_relative_change,negative_amount_sum,positive_amount_sum,top1_negative_coverage,top5_negative_coverage
2019-10-04,51,37,40,20727.03,406.412352941176470588235294117647059,,,,,,,,,,,,,
2019-10-11,56,42,43,24429.44,436.24,,,,,,,,,,,,,
2019-10-18,59,40,40,28486.31,482.818813559322033898305084745762712,,,,,,,,,,,,,
2019-10-25,38,31,33,14333.89,377.207631578947368421052631578947368,2019-10-04;2019-10-11;2019-10-18,166,3,55.3333333333333333333333333333333333,24547.5933333333333333333333333333333,443.631204819277108433734939759036145,-10213.7033333333333333333333333333333,-0.313253012048192771084337349397590361,-0.149727008647619452200273579540244636,20768.64,10554.9366666666666666666666666666667,0.109394420305486220250017975819954187,0.359243712314977453185828890737830370
2019-11-01,40,32,35,15993.69,399.84225,2019-10-04;2019-10-11;2019-10-18;2019-10-25,204,4,51,21994.1675,431.258186274509803921568627450980392,-6000.4775,-0.215686274509803921568627450980392157,-0.0728471650495523415469123802935482782,18462.1625,12461.685,,
2019-11-08,51,40,41,19322.34,378.869411764705882352941176470588235,2019-10-11;2019-10-18;2019-10-25;2019-11-01,193,4,48.25,20810.8325,431.312590673575129533678756476683938,-1488.4925,0.0569948186528497409326424870466321244,-0.121589724118578205675846376414500364,17377.0025,15888.51,,
